Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,Event Time,Event Time Rounded,Event DateTime,Event Date
Ryanair,Beziers Vias,2024-04-06 10:50:00+00:00,2024-04-06 11:12:00+00:00,Bristol,2024-04-06 11:50:00+00:00,2024-04-06 11:52:00+00:00,2024-04-06 11:52:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
Other,Chambery,2024-04-06 10:05:00+00:00,2024-04-06 10:26:00+00:00,Bristol,2024-04-06 11:10:00+00:00,2024-04-06 10:54:00+00:00,2024-04-06 10:54:00+00:00,2024-04-06 11:00:00+00:00,2024-04-06 11:00:00,2024-04-06
Other,Sion,2024-04-06 10:30:00+00:00,2024-04-06 10:38:00+00:00,Bristol,2024-04-06 11:03:00+00:00,2024-04-06 11:06:00+00:00,2024-04-06 11:06:00+00:00,2024-04-06 11:00:00+00:00,2024-04-06 11:00:00,2024-04-06
Other,Bergamo - Orio al Serio,2024-04-06 12:05:00+00:00,2024-04-06 11:43:00+00:00,Bristol,2024-04-06 13:01:00+00:00,2024-04-06 12:25:00+00:00,2024-04-06 12:25:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
easyJet,Madeira,2024-04-06 10:40:00+00:00,2024-04-06 11:40:00+00:00,Bristol,2024-04-06 14:10:00+00:00,2024-04-06 14:19:00+00:00,2024-04-06 14:19:00+00:00,2024-04-06 14:30:00+00:00,2024-04-06 14:30:00,2024-04-06
Ryanair,Son Sant Joan Airport,2024-04-06 16:35:00+00:00,2024-04-06 17:24:00+00:00,Bristol,2024-04-06 18:05:00+00:00,2024-04-06 18:22:00+00:00,2024-04-06 18:22:00+00:00,2024-04-06 18:30:00+00:00,2024-04-06 18:30:00,2024-04-06
easyJet,Sur Reina Sofia,2024-04-06 11:05:00+00:00,2024-04-06 12:18:00+00:00,Bristol,2024-04-06 15:10:00+00:00,2024-04-06 15:27:00+00:00,2024-04-06 15:27:00+00:00,2024-04-06 15:30:00+00:00,2024-04-06 15:30:00,2024-04-06
easyJet,Orly,2024-04-06 19:00:00+00:00,2024-04-06 19:11:00+00:00,Bristol,2024-04-06 19:20:00+00:00,2024-04-06 19:24:00+00:00,2024-04-06 19:24:00+00:00,2024-04-06 19:30:00+00:00,2024-04-06 19:30:00,2024-04-06
easyJet,Geneve-cointrin,2024-04-06 09:40:00+00:00,2024-04-06 09:58:00+00:00,Bristol,2024-04-06 10:25:00+00:00,2024-04-06 10:18:00+00:00,2024-04-06 10:18:00+00:00,2024-04-06 10:30:00+00:00,2024-04-06 10:30:00,2024-04-06
easyJet,Marco Polo,2024-04-06 10:55:00+00:00,2024-04-06 11:26:00+00:00,Bristol,2024-04-06 12:15:00+00:00,2024-04-06 12:21:00+00:00,2024-04-06 12:21:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
Other,Sur Reina Sofia,2024-04-06 18:50:00+00:00,2024-04-06 19:37:00+00:00,Bristol,2024-04-06 23:00:00+00:00,2024-04-06 22:58:00+00:00,2024-04-06 22:58:00+00:00,2024-04-06 23:00:00+00:00,2024-04-06 23:00:00,2024-04-06
Other,Fuerteventura,2024-04-06 22:05:00+00:00,2024-04-06 23:07:00+00:00,Bristol,2024-04-07 01:55:00+00:00,2024-04-07 02:18:00+00:00,2024-04-07 02:18:00+00:00,2024-04-07 02:30:00+00:00,2024-04-07 02:30:00,2024-04-07
Other,Antalya,2024-04-06 20:20:00+00:00,2024-04-06 21:06:00+00:00,Bristol,2024-04-06 23:05:00+00:00,2024-04-06 23:26:00+00:00,2024-04-06 23:26:00+00:00,2024-04-06 23:30:00+00:00,2024-04-06 23:30:00,2024-04-06
Other,Alicante El Altet,2024-04-06 11:10:00+00:00,2024-04-06 11:49:00+00:00,Bristol,2024-04-06 12:50:00+00:00,2024-04-06 12:57:00+00:00,2024-04-06 12:57:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
easyJet,Paphos International Airport,2024-04-06 22:00:00+00:00,2024-04-06 22:24:00+00:00,Bristol,2024-04-07 01:05:00+00:00,2024-04-07 01:09:00+00:00,2024-04-07 01:09:00+00:00,2024-04-07 01:00:00+00:00,2024-04-07 01:00:00,2024-04-07
Other,Geneve-cointrin,2024-04-06 12:05:00+00:00,2024-04-06 12:36:00+00:00,Bristol,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
Other,Innsbruck-kranebitten,2024-04-06 12:05:00+00:00,2024-04-06 12:13:00+00:00,Bristol,2024-04-06 13:10:00+00:00,2024-04-06 13:12:00+00:00,2024-04-06 13:12:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
Other,Schiphol,2024-04-06 22:00:00+00:00,2024-04-06 22:19:00+00:00,Bristol,2024-04-06 22:20:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:30:00+00:00,2024-04-06 22:30:00,2024-04-06
easyJet,Hurghada,2024-04-06 20:45:00+00:00,2024-04-06 21:02:00+00:00,Bristol,2024-04-07 01:45:00+00:00,2024-04-07 01:42:00+00:00,2024-04-07 01:42:00+00:00,2024-04-07 01:30:00+00:00,2024-04-07 01:30:00,2024-04-07
Other,Gran Canaria,2024-04-06 20:30:00+00:00,2024-04-06 21:14:00+00:00,Bristol,2024-04-07 00:30:00+00:00,2024-04-07 00:26:00+00:00,2024-04-07 00:26:00+00:00,2024-04-07 00:30:00+00:00,2024-04-07 00:30:00,2024-04-07
Other,Faro,2024-04-06 09:35:00+00:00,2024-04-06 10:13:00+00:00,Bristol,2024-04-06 12:15:00+00:00,2024-04-06 12:09:00+00:00,2024-04-06 12:09:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
easyJet,Lisbon Portela,2024-04-06 13:35:00+00:00,2024-04-06 14:49:00+00:00,Bristol,2024-04-06 16:05:00+00:00,2024-04-06 16:30:00+00:00,2024-04-06 16:30:00+00:00,2024-04-06 16:30:00+00:00,2024-04-06 16:30:00,2024-04-06
Other,Innsbruck-kranebitten,2024-04-06 11:05:00+00:00,2024-04-06 11:16:00+00:00,Bristol,2024-04-06 12:10:00+00:00,2024-04-06 12:01:00+00:00,2024-04-06 12:01:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
Other,Antalya,2024-04-06 10:30:00+00:00,2024-04-06 10:49:00+00:00,Bristol,2024-04-06 13:00:00+00:00,2024-04-06 13:19:00+00:00,2024-04-06 13:19:00+00:00,2024-04-06 13:30:00+00:00,2024-04-06 13:30:00,2024-04-06
easyJet,Larnaca,2024-04-06 14:30:00+00:00,2024-04-06 14:39:00+00:00,Bristol,2024-04-06 17:45:00+00:00,2024-04-06 17:35:00+00:00,2024-04-06 17:35:00+00:00,2024-04-06 17:30:00+00:00,2024-04-06 17:30:00,2024-04-06
easyJet,Ibiza,2024-04-06 23:35:00+00:00,2024-04-07 00:04:00+00:00,Bristol,2024-04-07 00:55:00+00:00,2024-04-07 01:01:00+00:00,2024-04-07 01:01:00+00:00,2024-04-07 01:00:00+00:00,2024-04-07 01:00:00,2024-04-07
Other,Schiphol,2024-04-06 08:35:00+00:00,2024-04-06 08:50:00+00:00,Bristol,2024-04-06 08:50:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 09:00:00+00:00,2024-04-06 09:00:00,2024-04-06
easyJet,Charles De Gaulle,2024-04-06 09:00:00+00:00,2024-04-06 09:36:00+00:00,Bristol,2024-04-06 09:20:00+00:00,2024-04-06 09:33:00+00:00,2024-04-06 09:33:00+00:00,2024-04-06 09:30:00+00:00,2024-04-06 09:30:00,2024-04-06
Ryanair,Dublin International,2024-04-06 07:55:00+00:00,2024-04-06 08:36:00+00:00,Bristol,2024-04-06 09:00:00+00:00,2024-04-06 09:25:00+00:00,2024-04-06 09:25:00+00:00,2024-04-06 09:30:00+00:00,2024-04-06 09:30:00,2024-04-06
easyJet,Bristol,2024-04-06 19:00:00+00:00,2024-04-06 19:15:00+00:00,Berlin Brandenburg Airport,2024-04-06 22:00:00+00:00,2024-04-06 21:46:00+00:00,2024-04-06 19:15:00+00:00,2024-04-06 19:00:00+00:00,2024-04-06 19:00:00,2024-04-06
Other,Bristol,2024-04-06 14:45:00+00:00,2024-04-06 15:18:00+00:00,Hanover Airport,2024-04-06 17:10:00+00:00,2024-04-06 17:23:00+00:00,2024-04-06 15:18:00+00:00,2024-04-06 15:30:00+00:00,2024-04-06 15:30:00,2024-04-06
easyJet,Bristol,2024-04-06 07:05:00+00:00,2024-04-06 07:06:00+00:00,Aldergrove International Airport,2024-04-06 08:15:00+00:00,2024-04-06 07:52:00+00:00,2024-04-06 07:06:00+00:00,2024-04-06 07:00:00+00:00,2024-04-06 07:00:00,2024-04-06
Other,Bristol,2024-04-06 12:20:00+00:00,2024-04-06 12:34:00+00:00,Birmingham International Airport,2024-04-06 13:25:00+00:00,2024-04-06 13:23:00+00:00,2024-04-06 12:34:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
Other,Bristol,2024-04-06 11:30:00+00:00,2024-04-06 11:33:00+00:00,Jersey,2024-04-06 12:33:00+00:00,2024-04-06 12:20:00+00:00,2024-04-06 11:33:00+00:00,2024-04-06 11:30:00+00:00,2024-04-06 11:30:00,2024-04-06
Other,Bristol,2024-04-06 12:10:00+00:00,2024-04-06 12:10:00+00:00,East Midlands,2024-04-06 13:05:00+00:00,2024-04-06 12:45:00+00:00,2024-04-06 12:10:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
easyJet,Bristol,2024-04-06 09:50:00+00:00,2024-04-06 10:25:00+00:00,Inverness,2024-04-06 11:20:00+00:00,2024-04-06 11:29:00+00:00,2024-04-06 10:25:00+00:00,2024-04-06 10:30:00+00:00,2024-04-06 10:30:00,2024-04-06
easyJet,Bristol,2024-04-06 12:45:00+00:00,2024-04-06 14:05:00+00:00,Glasgow International,2024-04-06 14:00:00+00:00,,2024-04-06 14:05:00+00:00,2024-04-06 14:00:00+00:00,2024-04-06 14:00:00,2024-04-06
easyJet,Bristol,2024-04-06 14:25:00+00:00,2024-04-06 15:20:00+00:00,Edinburgh,2024-04-06 15:40:00+00:00,2024-04-06 16:07:00+00:00,2024-04-06 15:20:00+00:00,2024-04-06 15:30:00+00:00,2024-04-06 15:30:00,2024-04-06
easyJet,Bristol,2024-04-06 12:55:00+00:00,2024-04-06 14:22:00+00:00,Edinburgh,2024-04-06 14:10:00+00:00,,2024-04-06 14:22:00+00:00,2024-04-06 14:30:00+00:00,2024-04-06 14:30:00,2024-04-06
Other,Bristol,2024-04-06 06:20:00+00:00,2024-04-06 06:22:00+00:00,Schiphol,2024-04-06 08:45:00+00:00,2024-04-06 08:17:00+00:00,2024-04-06 06:22:00+00:00,2024-04-06 06:30:00+00:00,2024-04-06 06:30:00,2024-04-06
Other,Bristol,2024-04-06 13:45:00+00:00,2024-04-06 14:24:00+00:00,Schiphol,2024-04-06 16:05:00+00:00,,2024-04-06 14:24:00+00:00,2024-04-06 14:30:00+00:00,2024-04-06 14:30:00,2024-04-06
Other,Bristol,2024-04-06 06:20:00+00:00,2024-04-06 06:22:00+00:00,Schiphol,2024-04-06 08:45:00+00:00,2024-04-06 08:17:00+00:00,2024-04-06 06:22:00+00:00,2024-04-06 06:30:00+00:00,2024-04-06 06:30:00,2024-04-06
Other,Bristol,2024-04-06 09:20:00+00:00,2024-04-06 09:35:00+00:00,Schiphol,2024-04-06 11:35:00+00:00,2024-04-06 11:29:00+00:00,2024-04-06 09:35:00+00:00,2024-04-06 09:30:00+00:00,2024-04-06 09:30:00,2024-04-06
Other,Bristol,2024-04-06 17:30:00+00:00,2024-04-06 19:35:00+00:00,Schiphol,2024-04-06 19:45:00+00:00,,2024-04-06 19:35:00+00:00,2024-04-06 19:30:00+00:00,2024-04-06 19:30:00,2024-04-06
Other,Bristol,2024-04-06 06:20:00+00:00,2024-04-06 06:22:00+00:00,Schiphol,2024-04-06 08:45:00+00:00,2024-04-06 08:17:00+00:00,2024-04-06 06:22:00+00:00,2024-04-06 06:30:00+00:00,2024-04-06 06:30:00,2024-04-06
Other,Bristol,2024-04-06 09:20:00+00:00,2024-04-06 09:35:00+00:00,Schiphol,2024-04-06 11:35:00+00:00,2024-04-06 11:29:00+00:00,2024-04-06 09:35:00+00:00,2024-04-06 09:30:00+00:00,2024-04-06 09:30:00,2024-04-06
Other,Bristol,2024-04-06 13:45:00+00:00,2024-04-06 14:24:00+00:00,Schiphol,2024-04-06 16:05:00+00:00,2024-04-06 16:15:00+00:00,2024-04-06 14:24:00+00:00,2024-04-06 14:30:00+00:00,2024-04-06 14:30:00,2024-04-06
Other,Bristol,2024-04-06 17:30:00+00:00,2024-04-06 19:35:00+00:00,Schiphol,2024-04-06 19:45:00+00:00,,2024-04-06 19:35:00+00:00,2024-04-06 19:30:00+00:00,2024-04-06 19:30:00,2024-04-06
Other,Bristol,2024-04-06 06:20:00+00:00,2024-04-06 06:22:00+00:00,Schiphol,2024-04-06 08:45:00+00:00,2024-04-06 08:17:00+00:00,2024-04-06 06:22:00+00:00,2024-04-06 06:30:00+00:00,2024-04-06 06:30:00,2024-04-06
Other,Bristol,2024-04-06 09:20:00+00:00,2024-04-06 09:35:00+00:00,Schiphol,2024-04-06 11:35:00+00:00,2024-04-06 11:29:00+00:00,2024-04-06 09:35:00+00:00,2024-04-06 09:30:00+00:00,2024-04-06 09:30:00,2024-04-06
Other,Bristol,2024-04-06 13:45:00+00:00,2024-04-06 14:24:00+00:00,Schiphol,2024-04-06 16:05:00+00:00,,2024-04-06 14:24:00+00:00,2024-04-06 14:30:00+00:00,2024-04-06 14:30:00,2024-04-06
Other,Bristol,2024-04-06 12:20:00+00:00,2024-04-06 12:45:00+00:00,Schiphol,2024-04-06 14:23:00+00:00,2024-04-06 14:38:00+00:00,2024-04-06 12:45:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
easyJet,Bristol,2024-04-06 15:55:00+00:00,2024-04-06 16:33:00+00:00,Schiphol,2024-04-06 18:15:00+00:00,2024-04-06 18:28:00+00:00,2024-04-06 16:33:00+00:00,2024-04-06 16:30:00+00:00,2024-04-06 16:30:00,2024-04-06
