flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
lm46,loganair,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 20:13:00,18,Regular departures
u2241,easyjet,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 19:50:00,0,Regular departures
u2209,easyjet,active,2023-05-02t20:25:00.000,2023-05-02t21:02:00.000,2023-05-02 21:19:00,54,Regular departures
fr509,ryanair,active,2023-05-02t20:55:00.000,2023-05-02t21:10:00.000,2023-05-02 21:26:00,32,Regular departures
u2316,easyjet,active,2023-05-02t21:30:00.000,2023-05-02t21:20:00.000,2023-05-02 21:24:00,0,Regular departures
u29006,easyjet,active,2023-05-02t13:00:00.000,2023-05-02t13:11:00.000,2023-05-02 13:15:00,15,Regular departures
ls1815,jet2,active,2023-05-03t06:00:00.000,2023-05-03t06:20:00.000,2023-05-03 06:34:00,35,Shoulder hour flights
u22709,easyjet,active,2023-05-03t06:00:00.000,2023-05-03t06:00:00.000,2023-05-03 06:14:00,14,Shoulder hour flights
u22715,easyjet,active,2023-05-03t06:00:00.000,2023-05-03t06:11:00.000,2023-05-03 06:30:00,31,Shoulder hour flights
u22815,easyjet,active,2023-05-03t06:00:00.000,2023-05-03t06:00:00.000,2023-05-03 06:09:00,10,Shoulder hour flights
u22731,easyjet,active,2023-05-03t06:05:00.000,2023-05-03t06:16:00.000,2023-05-03 06:25:00,20,Shoulder hour flights
u22893,easyjet,active,2023-05-03t06:10:00.000,2023-05-03t06:21:00.000,2023-05-03 06:22:00,13,Shoulder hour flights
x36348,tuifly,active,2023-05-03t06:15:00.000,2023-05-03t06:15:00.000,2023-05-03 06:32:00,18,Shoulder hour flights
af5199,air france,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
az3737,alitalia,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
dl9422,delta air lines,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
ey7330,etihad airways,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
g35535,gol,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
kq1046,kenya airways,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
kl1046,klm,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
ls1817,jet2,active,2023-05-03t06:20:00.000,2023-05-03t06:23:00.000,2023-05-03 06:27:00,7,Shoulder hour flights
