flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
x36254,tuifly,active,2023-05-09t06:00:00.000,2023-05-09t06:00:00.000,2023-05-09 06:16:00,17,Shoulder hour flights
u22709,easyjet,active,2023-05-09t06:00:00.000,2023-05-09t06:00:00.000,2023-05-09 06:18:00,19,Shoulder hour flights
u22715,easyjet,active,2023-05-09t06:00:00.000,2023-05-09t06:00:00.000,2023-05-09 06:14:00,14,Shoulder hour flights
ls1891,jet2,active,2023-05-09t06:05:00.000,2023-05-09t06:15:00.000,2023-05-09 06:21:00,16,Shoulder hour flights
x36272,tuifly,active,2023-05-09t06:05:00.000,2023-05-09t06:15:00.000,2023-05-09 06:39:00,34,Shoulder hour flights
u22733,easyjet,active,2023-05-09t06:10:00.000,2023-05-09t06:10:00.000,2023-05-09 06:47:00,37,Shoulder hour flights
u22765,easyjet,active,2023-05-09t06:10:00.000,2023-05-09t06:10:00.000,2023-05-09 06:27:00,17,Shoulder hour flights
u22891,easyjet,active,2023-05-09t06:10:00.000,2023-05-09t06:10:00.000,2023-05-09 06:29:00,20,Shoulder hour flights
fr505,ryanair,active,2023-05-09t06:15:00.000,2023-05-09t06:05:00.000,2023-05-09 06:23:00,9,Shoulder hour flights
u22731,easyjet,active,2023-05-09t06:15:00.000,2023-05-09t06:15:00.000,2023-05-09 06:36:00,22,Shoulder hour flights
u22843,easyjet,active,2023-05-09t06:15:00.000,2023-05-09t06:28:00.000,2023-05-09 06:34:00,19,Shoulder hour flights
af5199,air france,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
az3737,alitalia,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
dl9422,delta air lines,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
ey7330,etihad airways,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
g35535,gol,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
kq1046,kenya airways,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
kl1046,klm,active,2023-05-09t06:20:00.000,2023-05-09t06:30:00.000,2023-05-09 06:31:00,12,Shoulder hour flights
ls1817,jet2,active,2023-05-09t06:30:00.000,2023-05-09t06:40:00.000,2023-05-09 06:49:00,19,Shoulder hour flights
ls1895,jet2,active,2023-05-10t05:55:00.000,2023-05-10t06:00:00.000,2023-05-10 06:00:00,5,Shoulder hour flights
ls1815,jet2,active,2023-05-10t06:00:00.000,2023-05-11t22:30:00.000,2023-05-10 06:18:00,18,Shoulder hour flights
u22715,easyjet,active,2023-05-10t06:00:00.000,2023-05-10t06:00:00.000,2023-05-10 06:08:00,8,Shoulder hour flights
u22709,easyjet,active,2023-05-10t06:00:00.000,2023-05-10t06:00:00.000,2023-05-10 06:14:00,15,Shoulder hour flights
u22815,easyjet,active,2023-05-10t06:00:00.000,2023-05-10t06:00:00.000,2023-05-10 06:23:00,23,Shoulder hour flights
u22731,easyjet,active,2023-05-10t06:05:00.000,2023-05-10t06:05:00.000,2023-05-10 06:20:00,16,Shoulder hour flights
x36376,tuifly,active,2023-05-10t06:10:00.000,2023-05-10t06:10:00.000,2023-05-10 06:12:00,2,Shoulder hour flights
u22893,easyjet,active,2023-05-10t06:10:00.000,2023-05-10t06:10:00.000,2023-05-10 06:25:00,15,Shoulder hour flights
x36348,tuifly,active,2023-05-10t06:15:00.000,2023-05-10t06:15:00.000,2023-05-10 06:30:00,15,Shoulder hour flights
af5199,air france,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
az3737,alitalia,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
dl9422,delta air lines,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
ey7330,etihad airways,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
g35535,gol,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
kq1046,kenya airways,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
kl1046,klm,active,2023-05-10t06:20:00.000,2023-05-10t06:20:00.000,2023-05-10 06:27:00,8,Shoulder hour flights
ls1817,jet2,active,2023-05-10t06:20:00.000,2023-05-10t06:30:00.000,2023-05-10 06:40:00,20,Shoulder hour flights
