flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
U2245,EZY789J,G-UZHA,A20N,EGGD/BRS,EGPE/INV,20300,308,2024-11-11 14:59:59 UTC,Day flight,EZY
U27847,EJU97FZ,OE-LSU,A20N,EHAM/AMS,EGGD/BRS,8900,286,2024-11-11 14:59:58 UTC,Day flight,EJU
FR154,RYR67TH,EI-HGE,B38M,LEMD/MAD,EGGD/BRS,3350,196,2024-11-11 15:14:58 UTC,Day flight,RYR
,EAI84U,EI-GPO,AT76,EGGD/BRS,None/None,0,7,2024-11-11 15:14:55 UTC,Day flight,EAI
U22769,EZY98YM,G-EZTZ,A320,EGGD/BRS,LFPG/CDG,0,8,2024-11-11 15:14:53 UTC,Day flight,EZY
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,13,2024-11-11 15:14:58 UTC,Day flight,EJU
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,25350,534,2024-11-11 15:29:59 UTC,Day flight,EJU
GR642,AUR42D,G-PEMB,AT76,EGGD/BRS,EGTE/EXT,6475,192,2024-11-11 15:30:00 UTC,Day flight,AUR
XQ584,SXS6EH,TC-SOK,B38M,LTAI/AYT,EGGD/BRS,9500,284,2024-11-11 15:30:00 UTC,Day flight,SXS
FR1590,RYR407W,9H-QAX,B738,EDDK/CGN,EGGD/BRS,12575,292,2024-11-11 15:30:00 UTC,Day flight,MAY
U22769,EZY98YM,G-EZTZ,A320,EGGD/BRS,LFPG/CDG,20000,374,2024-11-11 15:30:00 UTC,Day flight,EZY
GR642,AUR42D,G-PEMB,AT76,EGGD/BRS,EGTE/EXT,1600,156,2024-11-11 15:45:00 UTC,Day flight,AUR
U22734,EZY56VQ,G-UZHI,A20N,GCRR/ACE,EGGD/BRS,9750,314,2024-11-11 15:44:58 UTC,Day flight,EZY
FR1590,RYR407W,9H-QAX,B738,EDDK/CGN,EGGD/BRS,0,17,2024-11-11 15:45:00 UTC,Day flight,MAY
U22967,EZY2967,G-UZHF,A20N,EGGD/BRS,DTNH/NBE,0,0,2024-11-11 15:44:56 UTC,Day flight,EZY
U22967,EZY2967,G-UZHF,A20N,EGGD/BRS,DTNH/NBE,8625,266,2024-11-11 16:00:00 UTC,Day flight,EZY
FR4121,RYR56DP,EI-DWP,B738,EGGD/BRS,LEMG/AGP,0,2,2024-11-11 16:00:01 UTC,Day flight,RYR
U27848,EJU57WJ,OE-LSU,A20N,EGGD/BRS,EHAM/AMS,0,0,2024-11-11 16:00:00 UTC,Day flight,EJU
U22937,EZY51FL,G-EZGY,A320,EGGD/BRS,EPKK/KRK,0,5,2024-11-11 16:00:00 UTC,Day flight,EZY
U22840,EZY49ZG,G-EZUW,A320,LIRP/PSA,EGGD/BRS,5925,292,2024-11-11 16:00:00 UTC,Day flight,EZY
FR4148,RYR22RR,EI-ENI,B738,LPFR/FAO,EGGD/BRS,10525,248,2024-11-11 16:14:58 UTC,Day flight,RYR
FR4121,RYR56DP,EI-DWP,B738,EGGD/BRS,LEMG/AGP,13100,330,2024-11-11 16:14:58 UTC,Day flight,RYR
