departure_date,flight_type,total_flights,avg_departure_delay
2023-08-31,Shoulder hour flights,23,15.652173913043478
2023-09-01,Night hour departures,1,17.0
2023-09-01,Regular departures,81,23.395061728395063
2023-09-01,Shoulder hour flights,13,19.23076923076923
2023-09-02,Regular departures,71,22.732394366197184
2023-09-02,Shoulder hour flights,23,21.782608695652176
2023-09-03,Regular departures,84,20.0
2023-09-03,Shoulder hour flights,23,15.73913043478261
2023-09-04,Regular departures,94,19.670212765957448
2023-09-04,Shoulder hour flights,22,16.545454545454547
2023-09-05,Regular departures,93,17.462365591397848
2023-09-05,Shoulder hour flights,23,19.434782608695652
2023-09-06,Regular departures,100,20.16
2023-09-06,Shoulder hour flights,14,21.071428571428573
2023-09-07,Regular departures,84,22.726190476190474
2023-09-07,Shoulder hour flights,24,21.166666666666668
2023-09-08,Regular departures,107,18.22429906542056
2023-09-08,Shoulder hour flights,15,16.2
2023-09-09,Regular departures,72,21.23611111111111
2023-09-09,Shoulder hour flights,15,14.933333333333334
2023-09-10,Regular departures,69,24.840579710144926
2023-09-10,Shoulder hour flights,23,21.91304347826087
2023-09-11,Regular departures,108,16.98148148148148
2023-09-11,Shoulder hour flights,24,12.833333333333334
2023-09-12,Night hour departures,1,0.0
2023-09-12,Regular departures,97,18.670103092783506
2023-09-12,Shoulder hour flights,24,18.041666666666668
2023-09-13,Regular departures,99,21.262626262626263
2023-09-13,Shoulder hour flights,24,18.291666666666668
2023-09-14,Regular departures,99,20.333333333333332
2023-09-14,Shoulder hour flights,24,19.958333333333332
2023-09-15,Regular departures,90,23.288888888888888
2023-09-15,Shoulder hour flights,23,13.347826086956522
2023-09-16,Regular departures,79,25.848101265822784
2023-09-16,Shoulder hour flights,23,20.52173913043478
2023-09-17,Regular departures,52,28.307692307692307
2023-09-17,Shoulder hour flights,19,19.57894736842105
2023-09-18,Regular departures,82,21.378048780487806
2023-09-18,Shoulder hour flights,11,20.181818181818183
2023-09-19,Regular departures,99,20.87878787878788
2023-09-19,Shoulder hour flights,24,19.833333333333332
2023-09-20,Regular departures,98,22.367346938775512
2023-09-20,Shoulder hour flights,22,17.636363636363637
2023-09-21,Regular departures,104,21.01923076923077
2023-09-21,Shoulder hour flights,24,21.166666666666668
2023-09-22,Night hour departures,1,4.0
2023-09-22,Regular departures,103,25.145631067961165
2023-09-22,Shoulder hour flights,23,13.956521739130435
2023-09-23,Regular departures,74,20.85135135135135
2023-09-23,Shoulder hour flights,22,18.5
2023-09-24,Regular departures,90,23.333333333333332
2023-09-24,Shoulder hour flights,17,20.470588235294116
2023-09-25,Regular departures,115,16.77391304347826
2023-09-25,Shoulder hour flights,23,20.565217391304348
2023-09-26,Regular departures,103,18.194174757281555
2023-09-26,Shoulder hour flights,25,21.2
2023-09-27,Regular departures,90,21.266666666666666
2023-09-27,Shoulder hour flights,19,24.894736842105264
2023-09-28,Regular departures,108,21.805555555555557
2023-09-28,Shoulder hour flights,22,20.363636363636363
2023-09-29,Regular departures,105,21.98095238095238
2023-09-29,Shoulder hour flights,24,13.041666666666666
2023-09-30,Regular departures,89,18.56179775280899
2023-09-30,Shoulder hour flights,23,15.652173913043478
2023-10-01,Regular departures,103,19.825242718446603
2023-10-01,Shoulder hour flights,25,10.28
2023-10-02,Regular departures,100,18.35
2023-10-02,Shoulder hour flights,22,15.0
2023-10-03,Regular departures,87,19.126436781609197
2023-10-03,Shoulder hour flights,22,12.409090909090908
2023-10-04,Regular departures,100,18.3
2023-10-04,Shoulder hour flights,20,18.35
2023-10-05,Regular departures,106,16.61320754716981
2023-10-05,Shoulder hour flights,22,24.318181818181817
2023-10-06,Regular departures,107,20.61682242990654
2023-10-06,Shoulder hour flights,18,11.222222222222221
2023-10-07,Regular departures,85,19.988235294117647
2023-10-07,Shoulder hour flights,23,8.173913043478262
2023-10-08,Night hour departures,1,5.0
2023-10-08,Regular departures,98,17.877551020408163
2023-10-08,Shoulder hour flights,23,13.608695652173912
2023-10-09,Regular departures,107,18.981308411214954
2023-10-09,Shoulder hour flights,21,12.714285714285714
2023-10-10,Regular departures,104,17.451923076923077
2023-10-10,Shoulder hour flights,21,20.666666666666668
2023-10-11,Regular departures,107,15.523364485981308
2023-10-11,Shoulder hour flights,21,10.619047619047619
2023-10-12,Night hour departures,1,2.0
2023-10-12,Regular departures,107,24.0
2023-10-12,Shoulder hour flights,12,11.083333333333334
2023-10-13,Night hour departures,1,5.0
2023-10-13,Regular departures,74,21.22972972972973
2023-10-13,Shoulder hour flights,16,18.9375
2023-10-14,Regular departures,78,20.487179487179485
2023-10-14,Shoulder hour flights,21,18.142857142857142
2023-10-15,Regular departures,94,17.925531914893618
2023-10-15,Shoulder hour flights,22,18.136363636363637
2023-10-16,Regular departures,84,19.857142857142858
2023-10-16,Shoulder hour flights,20,10.45
2023-10-17,Regular departures,95,19.45263157894737
2023-10-17,Shoulder hour flights,22,17.727272727272727
2023-10-18,Regular departures,92,19.77173913043478
2023-10-18,Shoulder hour flights,22,16.318181818181817
2023-10-19,Regular departures,95,19.53684210526316
2023-10-19,Shoulder hour flights,21,14.142857142857142
2023-10-20,Night hour departures,1,5.0
2023-10-20,Regular departures,84,24.095238095238095
2023-10-20,Shoulder hour flights,18,27.666666666666668
2023-10-21,Regular departures,71,17.704225352112676
2023-10-21,Shoulder hour flights,23,15.91304347826087
2023-10-23,Regular departures,84,20.416666666666668
2023-10-23,Shoulder hour flights,10,7.8
2023-10-24,Regular departures,106,16.169811320754718
2023-10-24,Shoulder hour flights,24,18.791666666666668
2023-10-25,Night hour departures,1,5.0
2023-10-25,Regular departures,95,20.042105263157893
2023-10-25,Shoulder hour flights,21,13.619047619047619
2023-10-26,Regular departures,85,18.152941176470588
2023-10-26,Shoulder hour flights,12,13.0
2023-10-27,Night hour departures,1,0.0
2023-10-27,Regular departures,90,28.57777777777778
2023-10-27,Shoulder hour flights,18,10.11111111111111
2023-10-28,Regular departures,39,25.153846153846153
2023-10-29,Regular departures,88,20.772727272727273
2023-10-29,Shoulder hour flights,20,14.5
2023-10-30,Regular departures,110,16.172727272727272
2023-10-30,Shoulder hour flights,18,13.88888888888889
2023-10-31,Regular departures,91,11.417582417582418
2023-10-31,Shoulder hour flights,16,7.0625
2023-11-01,Night hour departures,1,10.0
2023-11-01,Regular departures,83,16.746987951807228
2023-11-01,Shoulder hour flights,14,10.0
2023-11-02,Regular departures,62,14.741935483870968
2023-11-02,Shoulder hour flights,10,13.6
2023-11-03,Regular departures,90,18.488888888888887
2023-11-03,Shoulder hour flights,15,7.933333333333334
2023-11-04,Regular departures,72,16.875
2023-11-04,Shoulder hour flights,17,11.823529411764707
2023-11-05,Night hour departures,1,4.0
2023-11-05,Regular departures,76,17.592105263157894
2023-11-05,Shoulder hour flights,15,8.866666666666667
2023-11-06,Night hour departures,2,2.0
2023-11-06,Regular departures,98,12.36734693877551
2023-11-06,Shoulder hour flights,14,12.785714285714286
2023-11-07,Regular departures,59,15.033898305084746
2023-11-08,Regular departures,71,13.183098591549296
2023-11-08,Shoulder hour flights,3,15.0
2023-11-09,Night hour departures,1,13.0
2023-11-09,Regular departures,78,13.35897435897436
2023-11-09,Shoulder hour flights,10,14.9
2023-11-10,Night hour departures,1,5.0
2023-11-10,Regular departures,90,15.666666666666666
2023-11-10,Shoulder hour flights,12,14.916666666666666
2023-11-11,Regular departures,63,12.952380952380953
2023-11-11,Shoulder hour flights,15,16.266666666666666
2023-11-12,Night hour departures,1,5.0
2023-11-12,Regular departures,75,11.266666666666667
2023-11-12,Shoulder hour flights,12,3.25
2023-11-13,Regular departures,71,15.915492957746478
2023-11-13,Shoulder hour flights,6,15.333333333333334
2023-11-14,Regular departures,52,12.538461538461538
2023-11-14,Shoulder hour flights,12,29.583333333333332
2023-11-15,Night hour departures,1,6.0
2023-11-15,Regular departures,64,11.5
2023-11-15,Shoulder hour flights,11,13.454545454545455
2023-11-16,Night hour departures,1,4.0
2023-11-16,Regular departures,75,14.266666666666667
2023-11-16,Shoulder hour flights,11,27.454545454545453
2023-11-17,Regular departures,82,18.170731707317074
2023-11-17,Shoulder hour flights,13,12.76923076923077
2023-11-18,Regular departures,58,13.913793103448276
2023-11-18,Shoulder hour flights,15,4.933333333333334
2023-11-19,Night hour departures,1,4.0
2023-11-19,Regular departures,64,14.875
2023-11-19,Shoulder hour flights,13,5.923076923076923
2023-11-20,Regular departures,72,12.86111111111111
2023-11-20,Shoulder hour flights,10,0.8
2023-11-21,Regular departures,51,11.176470588235293
2023-11-21,Shoulder hour flights,15,11.133333333333333
2023-11-22,Regular departures,65,8.292307692307693
