Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,count
Virgin Atlantic,Schiphol,2024-04-06T16:40:00+00:00,2024-04-06T18:28:00+00:00,Bristol,2024-04-06T16:55:00+00:00,,1
Delta Air Lines,Schiphol,2024-04-06T16:40:00+00:00,2024-04-06T18:28:00+00:00,Bristol,2024-04-06T16:55:00+00:00,,1
easyJet,Francisco Sá Carneiro,2024-04-06T21:00:00+00:00,2024-04-06T22:55:00+00:00,Bristol,2024-04-06T23:05:00+00:00,,1
easyJet,Gran Canaria,2024-04-06T21:00:00+00:00,2024-04-06T23:30:00+00:00,Bristol,2024-04-07T00:55:00+00:00,,1
Etihad Airways,Schiphol,2024-04-06T22:00:00+00:00,2024-04-06T22:19:00+00:00,Bristol,2024-04-06T22:20:00+00:00,2024-04-06T22:21:00+00:00,1
easyJet,Hurghada,2024-04-06T20:45:00+00:00,2024-04-06T21:02:00+00:00,Bristol,2024-04-07T01:45:00+00:00,2024-04-07T01:42:00+00:00,1
Ryanair,Alicante El Altet,2024-04-06T21:30:00+00:00,2024-04-07T00:25:00+00:00,Bristol,2024-04-06T23:05:00+00:00,,1
Jet2,Gran Canaria,2024-04-06T20:30:00+00:00,2024-04-06T21:14:00+00:00,Bristol,2024-04-07T00:30:00+00:00,2024-04-07T00:26:00+00:00,1
Jet2,Faro,2024-04-06T09:35:00+00:00,2024-04-06T10:13:00+00:00,Bristol,2024-04-06T12:15:00+00:00,2024-04-06T12:09:00+00:00,1
easyJet,Lisbon Portela,2024-04-06T13:35:00+00:00,2024-04-06T14:49:00+00:00,Bristol,2024-04-06T16:05:00+00:00,2024-04-06T16:30:00+00:00,1
TUIfly,Innsbruck-kranebitten,2024-04-06T11:05:00+00:00,2024-04-06T11:16:00+00:00,Bristol,2024-04-06T12:10:00+00:00,2024-04-06T12:01:00+00:00,1
Corendon Air,Antalya,2024-04-06T10:30:00+00:00,2024-04-06T10:49:00+00:00,Bristol,2024-04-06T13:00:00+00:00,2024-04-06T13:19:00+00:00,1
easyJet,Larnaca,2024-04-06T14:30:00+00:00,2024-04-06T14:39:00+00:00,Bristol,2024-04-06T17:45:00+00:00,2024-04-06T17:35:00+00:00,1
easyJet,Faro,2024-04-06T22:10:00+00:00,2024-04-07T00:35:00+00:00,Bristol,2024-04-07T00:45:00+00:00,,1
easyJet,Ibiza,2024-04-06T23:35:00+00:00,2024-04-07T00:04:00+00:00,Bristol,2024-04-07T00:55:00+00:00,2024-04-07T01:01:00+00:00,1
