flight_type,flight_number,flight_icao,airline_name,airline_iata,flight_status,flight_date,dep_airport,dep_iata,dep_icao,dep_terminal,dep_gate,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_airport,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_scheduled,arr_estimated,arr_actual,arr_delay,aircraft_registration,aircraft_iata,is_codeshare,codeshare_airline,codeshare_flight
Departure,U22935,EZY651M,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:00:00+00:00,2025-07-24T15:00:00+00:00,,2,Prague Vaclav Havel Airport,PRG,LKPR,1,,12,2025-07-24T18:05:00+00:00,,,,G-UZLK,A20N,No,,
Departure,X36452,TUI6452,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:15:00+00:00,2025-07-24T15:15:00+00:00,,15,Nikos Kazantzakis Airport,HER,LGIR,,,,2025-07-24T21:10:00+00:00,,,,,,No,,
Departure,LS1839,EXS1839,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:25:00+00:00,2025-07-24T15:25:00+00:00,,40,Skiathos,JSI,LGSK,,,,2025-07-24T20:55:00+00:00,,,,,,No,,
Departure,U27192,EZY7192,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:35:00+00:00,2025-07-24T15:35:00+00:00,,,El Prat De Llobregat,BCN,LEBL,2,,10C,2025-07-24T18:40:00+00:00,,,,,,No,,
Departure,X36464,TUI6464,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:40:00+00:00,2025-07-24T15:40:00+00:00,,,Lanzarote,ACE,GCRR,1,,2,2025-07-24T19:35:00+00:00,,,,,,No,,
Departure,U2245,EZY245,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:45:00+00:00,2025-07-24T15:45:00+00:00,,28,Inverness,INV,EGPE,,,,2025-07-24T17:15:00+00:00,,,,,,No,,
Departure,SI4473,SPA4473,Sierra Pacific Airlines,SI,unknown,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,,,Jersey,JER,EGJJ,,,,2025-07-24T11:30:00+00:00,,,,,,No,,
Departure,LS1853,EXS1853,Jet2,LS,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:10:00+00:00,2025-07-24T14:10:00+00:00,2025-07-24T14:55:00+00:00,46,Gran Canaria,LPA,GCLP,,,36,2025-07-24T18:25:00+00:00,2025-07-24T18:27:00+00:00,,2,,,No,,
Departure,BA7820,BAW7820,British Airways,BA,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T19:55:00+00:00,2025-07-24T19:55:00+00:00,2025-07-24T20:06:00+00:00,11,Dyce,ABZ,EGPD,,,,2025-07-24T21:25:00+00:00,2025-07-24T21:13:00+00:00,,,,,Yes,loganair,lm46
Departure,FR8212,RYR8212,Ryanair,FR,landed,2025-07-24,Bristol,BRS,EGGD,,4,2025-07-24T06:15:00+00:00,2025-07-24T06:15:00+00:00,2025-07-24T06:36:00+00:00,21,Copernicus Airport,WRO,EPWR,1,04,D,2025-07-24T09:25:00+00:00,2025-07-24T09:39:00+00:00,2025-07-24T09:35:00+00:00,10,,,No,,
Departure,DL9461,DAL9461,Delta Air Lines,DL,landed,2025-07-24,Bristol,BRS,EGGD,,10,2025-07-24T06:15:00+00:00,2025-07-24T06:15:00+00:00,2025-07-24T06:38:00+00:00,24,Schiphol,AMS,EHAM,2,A08,010,2025-07-24T08:35:00+00:00,2025-07-24T08:36:00+00:00,2025-07-24T08:38:00+00:00,3,,,Yes,eastern airways,t31074
Departure,KQ1050,KQA1050,Kenya Airways,KQ,landed,2025-07-24,Bristol,BRS,EGGD,,10,2025-07-24T06:15:00+00:00,2025-07-24T06:15:00+00:00,2025-07-24T06:38:00+00:00,24,Schiphol,AMS,EHAM,2,A08,010,2025-07-24T08:35:00+00:00,2025-07-24T08:36:00+00:00,2025-07-24T08:38:00+00:00,3,,,Yes,eastern airways,t31074
Departure,U22843,EZY2843,easyJet,U2,landed,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:05:00+00:00,2025-07-24T06:05:00+00:00,2025-07-24T06:01:00+00:00,,Capodichino,NAP,LIRN,1,,2,2025-07-24T09:55:00+00:00,2025-07-24T09:31:00+00:00,2025-07-24T09:31:00+00:00,,,,No,,
Departure,FR4753,RYR4753,Ryanair,FR,landed,2025-07-24,Bristol,BRS,EGGD,,9,2025-07-24T19:55:00+00:00,2025-07-24T19:55:00+00:00,2025-07-24T20:41:00+00:00,47,Sur Reina Sofia,TFS,GCTS,,9,A1,2025-07-25T00:05:00+00:00,2025-07-25T00:06:00+00:00,2025-07-24T23:54:00+00:00,,,,No,,
Departure,U27004,EZY7004,easyJet,U2,landed,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T20:10:00+00:00,2025-07-24T20:10:00+00:00,2025-07-24T20:24:00+00:00,14,Pablo Ruiz Picasso,AGP,LEMG,3,,29,2025-07-24T23:50:00+00:00,2025-07-24T23:24:00+00:00,2025-07-24T23:23:00+00:00,,,,No,,
Departure,U22715,EZY2715,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:00:00+00:00,2025-07-24T06:00:00+00:00,,,Pablo Ruiz Picasso,AGP,LEMG,2,,,2025-07-24T09:45:00+00:00,,,,,,No,,
Departure,SI473,BCI473,Blue Islands,SI,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,,9,Jersey,JER,EGJJ,,,,2025-07-24T11:28:00+00:00,,,,,,No,,
Departure,LM2473,LOG2473,Loganair,LM,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,,,Jersey,JER,EGJJ,,,,2025-07-24T11:30:00+00:00,,,,,,Yes,blue islands,si4473
Departure,X13982,X13982,,X1,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,,,Jersey,JER,EGJJ,,,,2025-07-24T11:30:00+00:00,,,,,,Yes,blue islands,si4473
Departure,SI4473,BCI4473,Blue Islands,SI,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,,,Jersey,JER,EGJJ,,,,2025-07-24T11:30:00+00:00,,,,,,No,,
Departure,FR1361,RYR1361,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:10:00+00:00,2025-07-24T14:10:00+00:00,,15,Marco Polo,VCE,LIPZ,,,,2025-07-24T17:20:00+00:00,,,,,,No,,
Departure,U24630,EZY4630,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T11:00:00+00:00,2025-07-24T11:00:00+00:00,,41,Charles De Gaulle,CDG,LFPG,2B,,02,2025-07-24T13:20:00+00:00,,,,,,No,,
Departure,FR507,RYR507,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T20:20:00+00:00,2025-07-24T20:20:00+00:00,,,Dublin International,DUB,EIDW,1,,,2025-07-24T21:25:00+00:00,,,,,,No,,
Departure,U22705,EZY2705,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T18:35:00+00:00,2025-07-24T18:35:00+00:00,,14,El Prat De Llobregat,BCN,LEBL,2,,10C,2025-07-24T21:40:00+00:00,,,,,,No,,
