type,status,departure.iataCode,departure.icaoCode,departure.actualTime,arrival.iataCode,arrival.icaoCode,arrival.actualTime
arrival,landed,sof,lbsf,2023-12-30t12:33:00.000,brs,eggd,2023-12-30t13:50:00.000
arrival,landed,cdg,lfpg,2023-12-30t13:55:00.000,brs,eggd,2023-12-30t13:46:00.000
arrival,landed,rze,eprz,2023-12-30t12:12:00.000,brs,eggd,2023-12-30t14:01:00.000
arrival,landed,dub,eidw,2023-12-30t13:14:00.000,brs,eggd,2023-12-30t14:04:00.000
arrival,landed,ory,lfpo,2023-12-30t14:08:00.000,brs,eggd,2023-12-30t14:07:00.000
arrival,landed,jer,egjj,2023-12-30t12:07:00.000,brs,eggd,2023-12-30t12:52:00.000
arrival,landed,krk,epkk,2023-12-30t15:33:00.000,brs,eggd,2023-12-30t17:05:00.000
arrival,landed,fue,gcfv,2023-12-30t11:29:00.000,brs,eggd,2023-12-30t15:07:00.000
arrival,landed,ace,gcrr,2023-12-30t12:09:00.000,brs,eggd,2023-12-30t15:39:00.000
arrival,landed,prg,lkpr,2023-12-30t15:45:00.000,brs,eggd,2023-12-30t16:47:00.000
arrival,landed,ams,eham,2023-12-30t16:04:00.000,brs,eggd,2023-12-30t16:06:00.000
arrival,landed,szg,lows,2023-12-30t15:39:00.000,brs,eggd,2023-12-30t16:43:00.000
arrival,landed,gnb,lfls,2023-12-30t16:25:00.000,brs,eggd,2023-12-30t16:51:00.000
arrival,landed,fra,eddf,2023-12-30t16:31:00.000,brs,eggd,2023-12-30t16:56:00.000
arrival,landed,ams,eham,2023-12-30t16:37:00.000,brs,eggd,2023-12-30t16:33:00.000
arrival,landed,gnb,lfls,2023-12-30t16:38:00.000,brs,eggd,2023-12-30t17:09:00.000
arrival,landed,gva,lsgg,2023-12-30t16:44:00.000,brs,eggd,2023-12-30t17:11:00.000
arrival,landed,fue,gcfv,2023-12-30t15:32:00.000,brs,eggd,2023-12-30t19:07:00.000
arrival,landed,tfs,gcts,2023-12-30t15:21:00.000,brs,eggd,2023-12-30t19:03:00.000
arrival,landed,ams,eham,2023-12-30t18:44:00.000,brs,eggd,2023-12-30t18:41:00.000
arrival,landed,agp,lemg,2023-12-30t18:15:00.000,brs,eggd,2023-12-30t19:39:00.000
arrival,landed,dub,eidw,2023-12-30t18:45:00.000,brs,eggd,2023-12-30t19:33:00.000
arrival,landed,poz,eppo,2023-12-30t18:28:00.000,brs,eggd,2023-12-30t19:36:00.000
arrival,landed,inn,lowi,2023-12-30t19:13:00.000,brs,eggd,2023-12-30t19:58:00.000
arrival,landed,gva,lsgg,2023-12-30t20:01:00.000,brs,eggd,2023-12-30t20:25:00.000
arrival,landed,bcn,lebl,2023-12-30t20:21:00.000,brs,eggd,2023-12-30t21:17:00.000
arrival,landed,inn,lowi,2023-12-30t19:33:00.000,brs,eggd,2023-12-30t20:17:00.000
arrival,landed,gla,egpf,2023-12-30t20:02:00.000,brs,eggd,2023-12-30t20:59:00.000
arrival,landed,opo,lppr,2023-12-30t18:51:00.000,brs,eggd,2023-12-30t20:32:00.000
arrival,landed,rix,evra,2023-12-30t21:11:00.000,brs,eggd,2023-12-30t21:59:00.000
arrival,landed,gva,lsgg,2023-12-30t21:49:00.000,brs,eggd,2023-12-30t22:13:00.000
arrival,landed,fue,gcfv,2023-12-30t17:49:00.000,brs,eggd,2023-12-30t21:20:00.000
arrival,landed,fnc,lpma,2023-12-30t20:25:00.000,brs,eggd,2023-12-30t23:30:00.000
arrival,landed,dub,eidw,2023-12-30t20:49:00.000,brs,eggd,2023-12-30t21:34:00.000
arrival,landed,mad,lemd,2023-12-30t21:48:00.000,brs,eggd,2023-12-30t22:34:00.000
arrival,landed,szg,lows,2023-12-30t21:41:00.000,brs,eggd,2023-12-30t22:30:00.000
arrival,landed,alc,leal,2023-12-30t21:27:00.000,brs,eggd,2023-12-30t22:42:00.000
arrival,landed,lpa,gclp,2023-12-30t19:43:00.000,brs,eggd,2023-12-30t23:15:00.000
